report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2020-11-01,Historical,Rural,5,1.0,69.06666666666666,1,69.06666666666666
2020-12-01,Historical,Rural,8,1.75,70.06666666666666,1,70.06666666666666
2021-01-01,Historical,Rural,1,1.0,71.1,1,71.1
2021-02-01,Historical,Rural,5,0.6,72.13333333333334,1,72.13333333333334
2021-03-01,Historical,Rural,6,0.5,73.06666666666666,1,73.06666666666666
2021-04-01,Historical,Rural,18,0.6666666666666666,74.1,1,74.1
2021-05-01,Historical,Rural,10,0.7,75.1,1,75.1
2021-06-01,Historical,Rural,11,0.8181818181818182,76.13333333333334,1,76.13333333333334
2021-07-01,Historical,Rural,8,1.25,77.13333333333334,1,77.13333333333334
2021-08-01,Historical,Rural,7,0.8571428571428571,78.16666666666667,1,78.16666666666667
2021-09-01,Historical,Rural,7,0.5714285714285714,79.2,1,79.2
2021-10-01,Historical,Rural,5,0.4,80.2,1,80.2
2021-11-01,Historical,Rural,0,,81.23333333333333,1,81.23333333333333
2021-12-01,Historical,Rural,4,0.75,82.23333333333333,1,82.23333333333333
2022-01-01,Historical,Rural,4,0.0,83.26666666666667,1,83.26666666666667
2022-02-01,Historical,Rural,8,0.25,84.3,1,84.3
2022-03-01,Historical,Rural,11,0.45454545454545453,85.23333333333333,1,85.23333333333333
2022-04-01,Historical,Rural,9,0.2222222222222222,86.26666666666667,1,86.26666666666667
2022-05-01,Historical,Rural,6,0.6666666666666666,87.26666666666667,1,87.26666666666667
2022-06-01,Historical,Rural,13,0.23076923076923078,88.3,1,88.3
2022-07-01,Historical,Rural,17,0.5882352941176471,89.3,1,89.3
2022-08-01,Historical,Rural,10,1.0,90.33333333333333,1,90.33333333333333
2022-09-01,Historical,Rural,5,0.4,91.36666666666666,1,91.36666666666666
2022-10-01,Historical,Rural,10,1.1,92.36666666666666,1,92.36666666666666
2022-11-01,Historical,Rural,5,0.4,93.4,1,93.4
2022-12-01,Historical,Rural,1,1.0,94.4,1,94.4
2023-01-01,Historical,Rural,4,0.0,95.43333333333334,1,95.43333333333334
2023-02-01,Historical,Rural,8,0.125,96.46666666666667,1,96.46666666666667
2023-03-01,Historical,Rural,5,0.4,97.4,1,97.4
2023-04-01,Historical,Rural,12,1.0,98.43333333333334,1,98.43333333333334
2023-05-01,Historical,Rural,9,0.4444444444444444,99.43333333333334,1,99.43333333333334
2023-06-01,Historical,Rural,4,0.5,100.46666666666667,1,100.46666666666667
2023-07-01,Historical,Rural,5,0.2,101.46666666666667,1,101.46666666666667
2023-08-01,Historical,Rural,21,0.7142857142857143,102.5,1,102.5
2023-09-01,Historical,Rural,8,1.0,103.53333333333333,1,103.53333333333333
2023-10-01,Historical,Rural,11,0.6363636363636364,104.53333333333333,1,104.53333333333333
2023-11-01,Historical,Rural,12,0.3333333333333333,105.56666666666666,1,105.56666666666666
2023-12-01,Historical,Rural,14,0.5714285714285714,106.56666666666666,1,106.56666666666666
2024-01-01,Historical,Rural,16,0.4375,107.6,1,107.6
2024-02-01,Historical,Rural,11,0.2727272727272727,108.63333333333334,1,108.63333333333334
2024-03-01,Historical,Rural,7,0.42857142857142855,109.6,1,109.6
2024-04-01,Historical,Rural,14,0.7857142857142857,110.63333333333334,1,110.63333333333334
